time,Lat,Lon,Alt,pressure,temp,humidity
12:31:39,420276773,-936541504,260612,99391,-267,45209
12:31:42,420276820,-936541377,258976,99391,-267,45221
12:31:44,420276844,-936541323,258364,99393,-270,45207
12:31:46,420276834,-936541378,258926,99391,-272,45224
12:31:48,420276786,-936541540,260284,99391,-274,45219
12:31:51,420276753,-936541669,261517,99391,-275,45219
12:31:53,420276717,-936541760,262444,99393,-279,45201
12:31:55,420276711,-936541751,262458,99393,-284,45212
12:31:57,420276674,-936541857,263252,99393,-286,45256
12:32:00,420276657,-936541943,264172,99393,-288,45293
12:32:02,420276617,-936541846,264067,99391,-292,45306
12:32:04,420276589,-936541825,263353,99388,-295,45334
12:32:07,420276581,-936541793,262692,99388,-300,45341
12:32:09,420276550,-936541796,262412,99386,-305,45391
12:32:11,420276543,-936541796,262346,99384,-307,45440
12:32:14,420276535,-936541793,262432,99382,-309,45484
12:32:16,420276533,-936541793,262468,99380,-314,45527
12:32:18,420276532,-936541792,262484,99378,-319,45556
12:32:20,420276527,-936541790,262552,99378,-324,45601
12:32:23,420276522,-936541786,262617,99376,-328,45648
12:32:25,420276528,-936541777,262588,99376,-332,45716
12:32:27,420276533,-936541765,262608,99378,-335,45768
12:32:29,420276551,-936541816,262789,99378,-339,45810
12:32:32,420276593,-936541719,262273,99376,-345,45835
12:32:34,420276620,-936541763,262828,99376,-352,45914
12:32:36,420276576,-936541781,263169,99378,-357,45976
12:32:38,420276539,-936541779,263231,99378,-360,46055
12:32:41,420276549,-936541797,263287,99374,-364,46125
12:32:43,420276559,-936541805,263275,99376,-368,46239
12:32:45,420276575,-936541811,263407,99374,-371,46307
12:32:48,420276578,-936541824,263511,99376,-373,46386
12:32:50,420276571,-936541825,263532,99376,-378,46470
12:32:52,420276572,-936541832,263766,99376,-381,46552
12:32:54,420276563,-936541832,263732,99376,-383,46625
12:32:57,420276549,-936541829,263840,99374,-387,46692
12:32:59,420276544,-936541831,263843,99374,-393,46781
12:33:01,420276547,-936541832,263750,99374,-396,46846
